RoomName,Description
DELUXE ROOM,Our Deluxe room offers chicly embellished decor fused with contemporary design and modern amenities to ensure that you enjoy a relaxed and comfortable stay.
PEARL ROOM,"Living up to its name, the Pearl room adorns elegant, earthy tones and luxurious textures offering gorgeous city views."
EXECUTIVE ROOM,"Offering an aesthetically pleasing and contemporary decor, our Executive room is furnished with a king sized bed, spacious bathroom, writing desk and mini bar."
EXECUTIVE SUITE,"Offering pure luxury and class, our Executive suite strikes the perfect balance between work and comfort. The suite gives you exclusive complimentary access to the Executive Lounge."
DELUXE SUITE,A 630 square feet spacious suite overlooking the beautiful city of Karachi. The Deluxe Suite is the perfect blend of magniﬁcence and comfort.
DELUXE ROOM,Our Deluxe room offers chicly embellished decor fused with contemporary design and modern amenities to ensure that you enjoy a relaxed and comfortable stay.
PEARL ROOM,"Living up to its name, the Pearl room adorns elegant, earthy tones and luxurious textures offering gorgeous city views."
EXECUTIVE ROOM,"Offering an aesthetically pleasing and contemporary decor, our Executive room is furnished with a king sized bed, spacious bathroom, writing desk and mini bar."
EXECUTIVE SUITE,"Offering pure luxury and class, our Executive suite strikes the perfect balance between work and comfort. The suite gives you exclusive complimentary access to the Executive Lounge."
DELUXE SUITE,A 630 square feet spacious suite overlooking the beautiful city of Karachi. The Deluxe Suite is the perfect blend of magniﬁcence and comfort.
